55.002,117.09,203.01,70.81,151.45,57.494,106.2,31.182,51.046,117.02,206.3,50.137,78.799
58.463,117.41,215.24,80.723,111.87,57.364,97.254,30.23,52.066,119.54,216.11,49.458,78.729
65.399,122.77,200.93,74.603,118.8,63.525,107.12,29.321,50.579,116.82,202.28,53.199,75.373
57.461,120.35,233.11,70.503,138.17,58.804,105.34,28.814,48.153,119.73,233.79,54.84,78.251
67.743,127.55,229.63,82.772,137.49,65.535,104.31,27.841,52.533,127.79,231.9,52.491,78.719
53.76,113.04,208.93,98.625,93.7,54.292,93.702,27.802,45.494,115.56,211.88,54.195,80.427
57.641,106.73,230.55,73.656,155.99,60.797,94.773,31.732,47.641,108.47,228.94,48.368,75.518
55.533,120.64,217.81,66.96,188.9,56.011,95.954,28.697,54.594,118.75,218.77,52.451,82.294
54.678,108.69,201.32,71.575,142.85,56.476,94.174,31.878,49.043,111.02,201.95,54.465,73.32
57.05,112.91,231.42,69.619,228.59,59.883,93.31,29.387,49.403,112.38,232.46,50.216,81.044
55.631,108.57,210.42,80.293,96.084,58.551,108.42,28.028,48.313,111.17,206.57,49.945,82.404
61.553,116.16,221.48,69.718,175.6,63.485,107.06,29.555,46.178,114.34,220.97,54.158,76.356
62.015,118.59,216.28,101.82,110.85,63.092,91.436,27.082,52.481,119.56,219.84,54.516,84.634
61.206,129.93,210.4,78.891,146.27,63.019,98.333,30.605,45.988,130.25,208.78,46.337,73.126
62.108,125,232.17,92.781,107.22,61.957,97.802,28.77,45.62,123.44,230.17,45.824,76.499
62.709,117.91,234,77.789,138.81,64.309,109.95,28.164,54.742,120.85,234.04,49.37,77.478
60.505,132.82,214.2,79.116,134.51,61.659,95.557,32.691,54.048,131.15,213.09,54.146,73.189
60.888,119.88,231.28,78.789,138.48,59.299,100.46,31.851,52.064,120.32,229.09,47.318,86.823
55.172,132.9,234.8,79.4,113.17,55.603,109.29,31.119,48.511,131.32,236.51,54.679,78.422
62.204,121.33,219.2,85.735,123.31,61.673,94.431,32.68,50.01,121.1,219.42,54.794,73.85
56.335,119.24,235.34,94.151,109.23,56.078,104.06,28.797,48.976,117.48,236.64,50.971,73.308
54.336,111.99,199.79,82.793,97.225,54.364,90.221,32.962,46.003,112.9,200.86,50.698,75.838
61.373,109.98,209.4,75.87,113.47,61.111,107.87,27.612,54.876,108.13,209.23,53.445,86.639
55.378,124.49,204.19,69.108,174.55,54.115,99.306,31.853,46.236,125.84,203.98,48.656,76.346
58.992,121.36,237.51,79.352,115.17,58.607,108.22,32.697,49.905,118.37,234.5,46.761,82.993
55.631,123.23,230.41,71.995,163.08,56.347,98.271,29.483,49.749,121.51,228.96,51.806,78.767
58.207,125.81,234.46,70.249,140.51,57.053,100.98,32.537,52.907,125.87,234.84,52.004,84.6
59.01,126.26,210.01,102.92,96.956,57.741,103.09,30.229,49.773,125.8,204.31,51.73,85.752
57.648,118.07,229.2,83.349,119.33,54.86,98.081,32.308,53.133,118.7,230.32,48.784,81.233
62.274,122.17,206.58,75.675,172.55,62.25,95.007,30.465,49.86,118.95,208.78,48.458,82.79
54.855,118.85,212.91,72.403,118.99,55.103,95.097,28.103,51.798,119.32,213.15,46.648,78.048
64.105,122.9,239.58,74.378,160.99,65.976,105.95,30.587,54.18,118.71,235.48,49.374,77.931
62.287,109.76,223.04,76.42,123.41,59.61,97.752,32.561,49.914,108.79,222.01,50.818,81.612
62.481,114.47,241.12,73.953,141.32,63.542,90.269,28.775,50.954,110.11,240.87,51.668,79.656
61.93,110.62,239.2,75.155,124.34,63.068,103.52,31.114,48.493,109.69,238.27,50.272,78.903
58.068,121.71,228.89,68.022,141,58.307,106.13,27.196,50.704,124.97,225.7,50.273,84.171
60.092,115.49,214.37,78.536,122.78,58.215,99.034,32.195,54.465,113.6,211.02,45.178,83.817
