55.002,73.391,113.73,232.27,204.87,0.24882
58.463,94.469,118.67,135.79,214.58,0.23729
65.399,90.683,115.47,144.5,202.03,0.25049
57.461,79.23,119.05,197.84,232.96,0.23798
67.743,89.741,125.52,173.77,235.16,0.23185
53.76,138.37,112.61,116.61,212.71,0.2468
57.641,73.77,110.08,235.2,227.6,0.20731
55.533,74.484,117.79,315.37,217.43,0.22638
54.678,72.042,110.39,210.57,202.49,0.25772
57.05,73.825,111.34,392.01,234.21,0.20245
55.631,93.052,115.02,121.65,203.87,0.22517
61.553,78.284,114.86,271.25,223.13,0.23642
62.015,150.59,116.01,123.74,221.28,0.21412
61.206,82.21,131.87,206,211.25,0.27551
62.108,115.97,125.44,131.54,229.19,0.23279
62.709,81.034,120.81,174.67,233.99,0.21287
60.505,93.114,132.27,163.86,214.48,0.2807
60.888,78.943,122.51,206.82,226.69,0.21555
55.172,100.4,129.61,137.28,237.8,0.26997
62.204,102.93,120.88,138.47,224.74,0.2584
56.335,134.16,116.17,119.39,236.06,0.23394
54.336,98.658,111.83,124.53,198.42,0.26282
61.373,90.465,108.3,133.85,212.27,0.19839
55.378,71.226,126.05,285.17,204.43,0.28395
58.992,95.617,121.38,137.75,237.42,0.22075
55.631,76.764,122.97,259.09,227.23,0.23915
58.207,80.348,125.5,207.61,229.44,0.23758
59.01,146.13,131.5,114.07,206.25,0.26147
57.648,96.885,117.57,142.58,233.89,0.22574
62.274,80.863,116.75,271.43,210.67,0.23154
54.855,84.532,119.08,146.25,214.68,0.23182
64.105,85.281,122.81,225.72,234.32,0.20893
62.287,84.215,109.82,157.12,225.82,0.21051
62.481,86.998,110.36,194.9,238.79,0.18179
61.93,87.032,110.62,151.85,240.29,0.19905
58.068,74.385,128.16,203.82,225.85,0.23045
60.092,84.687,116.95,153.72,214.35,0.21241
58.289,88.916,123.45,149.74,212.77,0.23894
62.215,85.525,130.04,198.51,198.94,0.25678
58.615,158.53,129.37,116.21,200.7,0.25963
55.446,121.5,128.21,110.33,199.89,0.26451
60.54,115.73,110.93,110.93,199.8,0.24373
59.287,122.15,118.92,119.14,201.35,0.24429
61.776,82.778,121.16,165.94,216.92,0.2341
58.229,109.01,111.83,125.62,227.34,0.22854
54.304,111.27,112.4,125.28,213.12,0.22895
63.364,77.656,107.94,195.83,195.77,0.23938
54.512,135.27,108.69,131.22,231.87,0.18935
65.083,80.788,128.41,344.31,213.8,0.259
57.178,77.494,127.85,277.57,201.54,0.26858
60.837,115.53,115.63,120.59,215.4,0.2372
59.292,78.203,132.06,305.54,241.8,0.23969
64.414,112.31,123.87,131.25,224.94,0.23966
62.808,93.398,131.61,151.29,226.52,0.26918
62.786,80.521,125.09,316.59,229.64,0.23752
61.688,79.961,127.09,225.56,227.33,0.24206
59.764,93.446,115.43,135.96,214.28,0.23349
60.526,98.904,131.01,146.07,220.1,0.23099
60.26,82.914,121.15,168.94,208.03,0.24811
55.8,76.558,111.67,175.29,240.08,0.20039
55.536,72.414,111.17,318.88,240.9,0.20741
58.383,98.209,118.44,130.8,202.69,0.26087
60.364,77.875,130.41,279.21,231.3,0.24347
61.499,93.868,117.06,130.68,206.99,0.27123
65.656,110.18,112.43,126.32,216.59,0.20492
61.855,155.28,122.26,113.81,199.93,0.23907
60.508,75.931,123.69,265.44,206.34,0.24626
58.999,74.632,134.86,246.35,232.65,0.24644
56.637,86.323,136.22,187.07,236.5,0.25043
56.317,113.55,116.2,125.53,219.69,0.21908
59.899,155.94,129.3,113.4,206.88,0.27104
56.595,76.241,119.83,184.65,214.62,0.26055
58.895,77.475,114.77,191.23,219.98,0.2392
57.322,116.5,107.55,123.44,201.42,0.20577
63.167,130.76,119.14,120.17,230.1,0.23276
62.201,74.919,117.46,197.28,201.28,0.24371
61.484,77.79,110.25,249.61,216.43,0.20783
62.572,147.14,116.05,127.49,232.92,0.20821
61.402,84.479,125.34,208.49,240.42,0.21296
54.442,66.768,109.37,355.16,205.47,0.21212
52.891,67.048,113.78,312.09,208.84,0.22386
55.946,119.2,114.55,121.28,233.94,0.21509
54.337,75.659,126.55,306.92,233.58,0.23946
53.277,77.801,132.84,173.85,205.63,0.26365
57.406,80.928,118.53,156.1,204.07,0.24901
57.51,163.7,130.4,121.43,236.19,0.24738
55.741,85.112,124.26,155.29,204.56,0.26203
62.387,100.24,126.45,144.4,222.81,0.23038
67.408,93.68,129.73,151.19,222.9,0.24236
57.606,90.792,125.1,165.89,234.15,0.23456
61.29,76.856,114.11,250.43,221.64,0.21945
61.901,78.552,118.43,176.45,232.91,0.22459
60.528,78.158,127.78,385.68,229.7,0.23785
56.109,104.56,119.42,135.4,212.06,0.21594
66.016,94.404,114.97,147.22,215.57,0.23721
66.59,76.367,110.99,234.94,214.74,0.21773
61.911,93.012,119.72,137.69,228.99,0.22023
56.042,184.85,125.71,119.01,218.63,0.23402
57.207,137.21,110.11,120.41,209.14,0.22971
63.486,123.94,110.05,126.89,211.32,0.20419
61.904,92.841,129.4,159.33,216.3,0.245
50.326,68.62,114.82,339,228.06,0.22237
56.187,82.594,127.34,192.43,213.91,0.23918
53.171,75.431,107.33,248.61,234.46,0.19418
51.559,72.37,108.26,266.83,229.35,0.22507
59.972,134.75,116.55,129.24,218.94,0.21796
53.963,80.901,125.68,156.36,231.79,0.24436
60.086,92.402,113.76,126.96,211.48,0.22847
63.905,80.954,122.74,211.95,221.06,0.24218
52.401,79.107,129.03,179.44,220.44,0.26598
59.423,78.146,131.73,322.76,226.59,0.23807
53.681,86.541,132.27,167.53,240.55,0.25616
60.128,75.933,117.3,290,227.49,0.22092
66.427,96.569,125.65,155.79,225.74,0.2166
61.594,82.866,130.04,243.92,219.91,0.24517
63.617,118.85,120.38,132.18,229.12,0.21195
62.504,111.11,116.35,133.92,213.76,0.21198
55.073,75.992,122.53,243.03,238.95,0.22528
61.421,84.801,116.72,193.89,236.13,0.21096
57.749,84.51,111.33,144.2,231.07,0.20499
59.633,78.742,120.16,234.97,238.69,0.21724
63.979,77.207,112.8,228.28,214.1,0.23677
54.582,72.717,107.45,168.77,206.27,0.23382
60.656,110.4,118.56,129.86,208.16,0.24492
60.223,87.555,111.45,165.8,221,0.19905
67.049,132.23,126.34,125.52,220.91,0.25201
58.623,74.709,106.96,187.6,212.42,0.21889
57.78,81.421,126.36,218.05,211.59,0.25011
51.353,82.651,130.72,173.46,216.31,0.27989
60.348,145.79,111.6,120.84,215.03,0.21035
57.371,70.972,113.34,319.75,201.04,0.25932
55.131,81.598,128.11,195.11,228.86,0.27059
55.126,77.149,131.88,219.55,224.11,0.24801
50.79,70.317,116.37,292.34,197.34,0.22812
52.255,67.892,116.7,348.35,229.36,0.22618
55.731,95.408,130.86,131.18,205.11,0.25686
59.017,77.344,107.27,155.53,209.31,0.22763
58.076,134.71,109.4,111.58,198.59,0.2427
52.852,88.417,121.7,141.33,222.47,0.25431
